Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,63.25661449218064,11.274688183333332,-0.33984284820000005,5.467422643333333
1950-1979,1950,2,64.49723395912812,13.0817896,0.5802068364,6.830998160000001
1950-1979,1950,3,57.74842802502239,15.79643205,2.0861765643333334,8.941304286666668
1950-1979,1950,4,34.960554635035116,19.662243999999998,4.695498143333333,12.17887117
1950-1979,1950,5,12.35235955295554,24.397685233333334,8.390936206666668,16.39431085
1950-1979,1950,6,2.882904283881382,29.05716226666667,11.817739216666666,20.437450966666667
1950-1979,1950,7,2.8609570676317744,32.799385666666666,15.169557383333334,23.9844716
1950-1979,1950,8,3.5994325402933525,32.138390566666665,14.512663166666666,23.325526733333334
1950-1979,1950,9,5.334918760332238,29.086990500000002,12.0899471,20.588468966666667
1950-1979,1950,10,13.36712533521729,23.6412224,7.931299159999999,15.786260833333333
1950-1979,1950,11,44.561572939424146,15.946491183333334,2.7600011388,9.353246223333334
1950-1979,1950,12,69.05954664948892,10.997029453333333,-0.3377426903333333,5.329643402333333
1951-1980,1951,1,61.26756701425016,11.22152485,-0.38702300400000006,5.417250903333334
1951-1980,1951,2,65.01235050829422,12.926978700000001,0.4375561197333333,6.68226734
1951-1980,1951,3,61.03628544258545,15.695048116666667,2.0521521343333333,8.873600086666666
1951-1980,1951,4,33.91281819977685,19.673752,4.659385253333334,12.166568703333333
1951-1980,1951,5,11.868197777700438,24.332576033333332,8.340112833333333,16.336344566666664
1951-1980,1951,6,3.0124816510433208,28.91487986666667,11.716945316666665,20.3159128
1951-1980,1951,7,4.326290822093936,32.736174133333336,15.149897216666666,23.943035733333332
1951-1980,1951,8,3.622402126074193,32.133504699999996,14.4998755,23.316689966666665
1951-1980,1951,9,5.565789806299873,29.209848299999997,12.181209033333333,20.695528833333334
1951-1980,1951,10,13.360761561347562,23.587372233333333,7.897717176666666,15.7425448
1951-1980,1951,11,45.49110546546118,15.838655249999999,2.6927499354666664,9.265702656666667
1951-1980,1951,12,61.53987109460295,11.042262386666666,-0.36954725033333335,5.336357602333334
1952-1981,1952,1,53.23103302188719,11.336566216666666,-0.37676087033333333,5.479902663333333
1952-1981,1952,2,64.44843078873787,13.007993866666668,0.4863828350666667,6.747188293333334
1952-1981,1952,3,59.6690739797336,15.765737683333333,2.1237159443333335,8.944726786666667
1952-1981,1952,4,32.65376360138715,19.723203333333334,4.700359466666667,12.21178147
1952-1981,1952,5,10.682790915000567,24.49200323333333,8.428810566666666,16.460407066666665
1952-1981,1952,6,3.04849456001413,28.766327566666668,11.580826716666667,20.173577299999998
1952-1981,1952,7,4.324005894863483,32.740088633333336,15.163746883333333,23.9519178
1952-1981,1952,8,3.4418817744027157,32.1042779,14.476878466666667,23.29057806666667
1952-1981,1952,9,5.549912977271696,29.115728400000002,12.0947869,20.605257866666665
