Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,63.20428155238811,2.2333703099999997,-8.555509606666668,-3.1610696393333333
1950-1979,1950,2,53.50440333997224,4.026174776666666,-7.238555993333334,-1.6061906018333334
1950-1979,1950,3,44.154229951787,6.626002736666666,-5.769779203333333,0.428111749
1950-1979,1950,4,41.170843716857036,11.185709786666667,-2.7831205208,4.2012946546666665
1950-1979,1950,5,32.29693277720542,16.9886063,1.3031784906666668,9.145892393333332
1950-1979,1950,6,32.842831430298894,21.550693866666666,4.618834126666667,13.08476395
1950-1979,1950,7,10.126044419996902,27.580374066666664,8.483284733333333,18.031829333333334
1950-1979,1950,8,10.314161762722538,26.794302766666664,7.58876201,17.191532066666664
1950-1979,1950,9,13.707624682413975,22.4568532,4.05033838,13.253595766666667
1950-1979,1950,10,30.157923571414976,15.82263925,-0.17820147574666667,7.822218903333334
1950-1979,1950,11,58.99082556637934,7.19950894,-5.170756736666666,1.0143761133333333
1950-1979,1950,12,73.64357554730807,3.039637141333333,-7.980919703333333,-2.4706412606666666
1951-1980,1951,1,63.25209734197519,2.072399273333333,-8.700635089999999,-3.3141178993333336
1951-1980,1951,2,52.605496281237166,3.9234488533333334,-7.38335686,-1.7299539951666667
1951-1980,1951,3,43.839727453953465,6.667327670000001,-5.753177726666666,0.45707495899999995
1951-1980,1951,4,41.208016912715,11.120177153333334,-2.8396284851333333,4.140274368
1951-1980,1951,5,32.76740877322667,16.770488266666668,1.1261155335666666,8.948301926666666
1951-1980,1951,6,32.916938645749724,21.525779699999998,4.613173393333333,13.069476483333334
1951-1980,1951,7,10.003651211344359,27.5295797,8.438173666666666,17.9838766
1951-1980,1951,8,9.969712220040396,26.843741533333333,7.626999533333334,17.235370233333335
1951-1980,1951,9,13.54194749811466,22.399476733333334,3.9779463,13.188711466666666
1951-1980,1951,10,30.712093462412767,15.762923916666667,-0.22540843574666666,7.76875777
1951-1980,1951,11,62.009381543596874,7.122556253333333,-5.13292459,0.9948158500000001
1951-1980,1951,12,74.35050059761264,3.046473238,-7.935913603333333,-2.444720174
1952-1981,1952,1,61.07682792240719,2.2005912933333334,-8.649869576666667,-3.224639137
1952-1981,1952,2,50.98290284513103,3.83817434,-7.500492210000001,-1.8311589165000002
1952-1981,1952,3,45.122437991645185,6.717156203333333,-5.66905188,0.5240521623333333
1952-1981,1952,4,40.50866917175458,11.09620892,-2.8525135718000003,4.121847711333333
1952-1981,1952,5,34.082518496689936,16.6191916,1.0184013902333333,8.818796493333334
1952-1981,1952,6,33.12570983546136,21.378073733333334,4.508260943333334,12.943167283333334
